,residuos,residuos_especiales,agua,energia,conciencia,label
132,0.0,0.0,1.0,0.0,0.5,0
133,0.0,0.0,1.0,0.0,0.5,0
134,0.0,0.0,0.0,0.0,0.5,2
135,0.0,0.0,0.0,1.0,0.5,1
136,0.0,1.0,0.5,0.0,0.5,2
137,0.0,0.0,0.5,0.0,0.5,2
138,0.0,0.0,1.0,1.0,1.0,0
139,0.0,0.0,0.0,0.0,0.5,2
140,0.0,0.5,1.0,0.0,0.5,0
141,0.0,0.0,0.0,0.0,0.5,2
142,0.0,0.0,0.5,0.0,0.5,2
143,0.0,0.5,0.5,0.0,0.5,2
144,0.0,0.0,0.0,0.0,0.5,2
145,0.0,0.5,0.0,0.0,1.0,2
146,0.0,0.5,0.0,0.0,1.0,2
147,0.0,0.5,0.0,0.0,1.0,2
148,0.0,0.5,0.0,0.0,0.5,2
149,0.0,0.0,0.0,0.0,0.5,2
150,0.0,0.5,0.0,0.0,1.0,2
151,0.5,0.0,1.0,1.0,1.0,0
152,0.5,0.0,1.0,1.0,0.0,0
153,1.0,0.0,1.0,1.0,1.0,0
154,1.0,0.0,1.0,0.0,0.5,0
155,1.0,0.0,1.0,1.0,1.0,0
156,1.0,0.0,0.5,0.5,0.5,0
157,1.0,0.5,1.0,1.0,0.0,0
158,1.0,0.0,0.0,1.0,1.0,1
159,1.0,0.5,1.0,0.0,0.0,0
160,1.0,0.0,0.0,0.5,0.5,1
161,1.0,0.5,1.0,0.0,1.0,0
162,0.0,0.0,0.0,0.0,1.0,2
163,1.0,0.5,0.0,1.0,1.0,1
164,0.5,0.0,1.0,1.0,0.5,0
165,0.5,0.0,0.0,0.0,0.5,2
166,0.0,0.5,1.0,0.5,0.0,0
167,0.5,0.0,0.5,0.0,1.0,2
168,0.5,0.0,0.0,1.0,1.0,1
169,0.5,0.0,0.5,1.0,0.5,1
170,0.0,0.0,1.0,1.0,0.5,0
171,1.0,0.0,0.0,0.0,0.5,2
172,0.5,0.0,1.0,1.0,0.5,0
173,1.0,0.5,0.5,0.0,0.5,2
174,0.5,0.5,0.0,0.5,0.5,2
175,1.0,0.0,0.5,0.5,1.0,0
176,1.0,0.0,1.0,0.0,0.5,0
177,0.5,0.5,1.0,1.0,0.5,0
178,1.0,0.5,0.5,1.0,1.0,1
179,0.0,0.0,1.0,0.0,0.5,0
180,0.0,0.5,0.5,0.5,1.0,1
181,0.0,0.0,0.5,1.0,0.5,1
182,1.0,0.5,0.0,0.5,1.0,1
183,0.0,0.0,0.0,0.5,1.0,1
184,0.0,0.0,0.0,0.5,1.0,1
185,0.0,0.0,0.0,0.5,1.0,1
186,0.5,0.5,1.0,0.0,1.0,0
187,1.0,0.5,0.0,0.5,0.0,2
188,1.0,1.0,1.0,1.0,0.5,0
189,1.0,0.5,0.5,0.5,0.0,2
190,1.0,0.5,0.5,0.5,0.0,2
191,0.0,0.5,0.0,1.0,1.0,1
192,1.0,0.5,1.0,0.0,0.5,0
193,1.0,0.5,0.5,1.0,0.0,1
194,0.5,0.0,1.0,0.5,0.5,0
195,0.0,0.0,1.0,1.0,0.5,0
196,1.0,0.0,0.0,1.0,1.0,1
197,0.0,0.0,0.0,0.5,0.0,2
198,0.5,0.0,0.0,1.0,0.5,1
199,0.0,0.0,1.0,1.0,0.0,0
200,0.0,0.0,1.0,0.5,0.0,0
201,0.0,0.0,0.5,0.0,0.5,2
202,1.0,0.0,0.5,1.0,1.0,1
203,0.0,0.0,0.5,0.0,0.5,2
204,1.0,0.5,0.0,0.0,1.0,2
205,1.0,0.5,0.0,0.5,0.5,2
206,1.0,0.0,0.5,0.0,0.5,2
207,0.0,0.0,0.0,1.0,1.0,1
208,0.0,0.5,0.0,0.0,1.0,2
209,0.0,0.0,1.0,0.0,1.0,0
210,0.0,0.0,0.5,1.0,1.0,1
211,0.0,0.0,0.5,0.0,1.0,2
212,1.0,0.5,1.0,0.5,1.0,0
213,0.5,0.5,0.5,0.0,1.0,2
214,0.0,0.0,0.0,1.0,0.5,1
215,1.0,0.0,0.0,0.5,1.0,1
216,0.0,0.0,1.0,0.5,1.0,0
217,0.0,0.0,0.0,1.0,1.0,1
218,0.0,0.0,0.5,1.0,1.0,1
219,0.0,0.0,0.0,1.0,1.0,1
220,1.0,0.0,0.5,0.5,1.0,0
221,0.5,0.0,0.5,0.5,0.5,2
222,0.0,1.0,0.0,0.0,1.0,2
223,1.0,0.5,0.5,1.0,0.5,1
224,1.0,0.5,0.5,0.5,0.5,0
225,1.0,0.0,1.0,0.0,0.5,0
226,1.0,0.0,0.5,0.0,0.5,2
227,0.5,0.5,0.5,0.5,1.0,1
228,1.0,1.0,0.0,1.0,1.0,1
229,0.0,0.5,0.0,1.0,1.0,1
230,1.0,0.5,0.0,0.0,0.5,2
231,1.0,0.0,0.5,0.5,1.0,0
232,1.0,1.0,0.5,0.0,0.0,2
233,1.0,0.5,0.0,1.0,1.0,1
234,0.0,0.5,0.0,1.0,1.0,1
235,1.0,0.5,0.0,1.0,0.0,1
236,1.0,0.0,0.0,1.0,0.0,1
237,1.0,0.0,1.0,1.0,0.0,0
238,1.0,1.0,0.0,1.0,1.0,1
239,1.0,0.5,0.0,1.0,0.5,1
240,0.5,0.5,1.0,1.0,0.5,0
241,0.0,0.0,1.0,0.0,1.0,0
242,0.0,0.5,0.0,0.5,0.0,2
243,0.0,0.5,1.0,0.0,1.0,0
244,1.0,0.0,0.5,0.5,0.5,0
245,0.5,0.5,1.0,0.5,0.0,0
246,0.0,0.5,0.0,0.5,1.0,1
247,0.0,0.0,0.5,0.0,1.0,2
248,0.5,0.0,0.5,1.0,1.0,1
249,1.0,0.0,0.5,1.0,1.0,1
250,0.0,0.5,0.5,0.0,1.0,2
251,1.0,0.0,0.5,1.0,1.0,1
252,0.0,0.0,0.5,0.0,0.5,2
253,0.0,0.5,0.5,0.5,1.0,1
254,0.0,0.5,0.5,1.0,0.5,1
255,1.0,0.5,1.0,0.0,1.0,0
256,0.5,0.0,0.0,1.0,0.5,1
257,1.0,0.5,1.0,0.0,0.5,0
258,0.0,0.0,0.0,1.0,0.0,1
259,1.0,0.5,1.0,1.0,1.0,0
260,0.0,0.0,0.5,0.0,0.5,2
261,0.5,0.5,0.0,1.0,1.0,1
262,1.0,0.0,1.0,1.0,0.5,0
263,0.5,0.5,1.0,0.0,0.5,0
264,1.0,0.0,1.0,0.5,0.5,0
265,0.5,0.5,0.0,0.0,1.0,2
266,0.0,0.0,0.5,1.0,1.0,1
267,1.0,0.5,0.5,0.5,1.0,0
268,1.0,0.5,1.0,0.0,1.0,0
269,0.5,0.0,0.5,1.0,1.0,1
270,0.0,0.0,0.5,0.0,0.5,2
271,1.0,0.0,1.0,0.5,1.0,0
272,1.0,0.0,0.0,0.5,1.0,1
273,1.0,0.5,0.0,0.0,1.0,2
274,1.0,0.0,0.5,1.0,0.5,1
275,1.0,0.0,0.0,0.5,0.0,2
276,0.5,0.5,0.5,1.0,0.5,1
277,0.0,0.0,0.5,0.0,1.0,2
278,1.0,0.0,1.0,0.5,1.0,0
279,0.5,0.5,0.5,1.0,0.5,1
280,0.5,1.0,1.0,1.0,0.5,0
281,0.0,0.5,1.0,1.0,0.0,0
282,0.5,0.5,0.0,1.0,0.0,1
283,0.5,0.5,0.0,0.0,0.5,2
284,0.5,0.0,1.0,1.0,1.0,0
285,1.0,0.0,1.0,1.0,0.5,0
286,0.5,0.0,0.5,0.0,1.0,2
287,0.5,0.5,0.0,1.0,0.0,1
288,0.0,1.0,0.5,0.5,0.0,2
289,1.0,0.0,1.0,0.5,0.5,0
290,1.0,0.5,0.0,0.5,0.0,2
291,0.0,0.0,1.0,0.0,0.0,0
292,1.0,0.0,0.0,1.0,0.0,1
293,1.0,0.0,1.0,1.0,0.0,0
294,1.0,0.5,1.0,0.5,0.0,0
295,1.0,0.0,0.5,1.0,0.0,1
296,0.0,0.0,0.0,0.5,1.0,1
297,0.5,0.5,0.0,1.0,1.0,1
298,0.0,0.0,1.0,0.0,0.5,0
299,0.5,0.0,0.0,0.5,0.5,2
300,0.0,0.5,0.5,0.0,0.5,2
301,1.0,0.0,1.0,1.0,0.0,0
302,0.0,0.0,1.0,0.0,0.0,0
303,1.0,0.0,1.0,0.5,1.0,0
304,0.5,0.5,0.0,0.5,1.0,1
305,0.5,0.0,0.5,1.0,1.0,1
306,0.0,0.0,1.0,0.0,0.5,0
307,0.5,0.0,0.0,0.0,0.0,2
308,1.0,0.0,1.0,0.0,0.5,0
309,0.5,0.5,0.0,0.0,0.5,2
310,1.0,0.5,0.0,1.0,0.5,1
311,0.5,0.5,1.0,0.5,1.0,0
312,0.0,0.0,0.5,0.0,1.0,2
313,0.5,0.0,0.5,1.0,1.0,1
314,0.0,0.0,0.0,0.0,1.0,2
315,0.5,0.0,0.0,1.0,1.0,1
316,0.0,0.0,1.0,0.5,1.0,0
317,0.5,0.0,0.5,0.0,0.5,2
318,0.5,0.5,0.0,1.0,0.5,1
319,0.5,0.0,0.0,1.0,0.5,1
320,0.5,0.0,0.0,1.0,1.0,1
321,1.0,0.0,1.0,0.5,0.5,0
322,0.5,0.0,1.0,0.0,0.5,0
323,0.0,0.0,0.0,1.0,1.0,1
324,0.5,0.0,0.0,0.0,0.5,2
325,0.5,0.5,0.0,1.0,0.5,1
326,0.0,0.0,0.5,0.0,0.0,2
327,0.5,0.0,0.0,0.5,0.5,2
328,0.5,0.0,0.0,0.5,1.0,1
329,0.5,0.5,0.5,1.0,1.0,1
330,0.5,0.5,0.5,0.5,0.5,2
331,1.0,1.0,0.5,0.0,0.0,2
332,1.0,0.5,0.0,1.0,1.0,1
333,1.0,0.0,0.5,0.0,0.5,2
334,1.0,0.0,1.0,0.0,0.5,0
335,1.0,0.0,0.5,1.0,1.0,1
336,0.0,0.5,0.5,1.0,1.0,1
337,0.5,0.0,0.0,0.0,0.5,2
338,1.0,0.5,0.5,0.0,0.5,2
339,0.5,1.0,0.0,1.0,0.5,1
340,1.0,0.5,0.0,0.5,0.0,2
341,1.0,0.5,0.0,1.0,1.0,1
342,1.0,0.5,0.5,1.0,0.5,1
343,1.0,0.5,0.5,1.0,1.0,1
344,0.0,0.0,1.0,0.5,1.0,0
345,1.0,0.0,1.0,0.0,1.0,0
346,1.0,0.0,0.5,0.5,1.0,0
347,0.0,0.0,1.0,1.0,0.0,0
348,1.0,0.5,0.5,1.0,1.0,1
349,0.0,0.0,1.0,1.0,1.0,0
350,0.5,0.0,0.5,0.0,0.0,2
351,0.5,1.0,0.0,1.0,0.5,1
352,1.0,0.5,0.0,0.0,1.0,2
353,0.0,0.5,1.0,1.0,0.0,0
354,0.5,0.5,0.0,0.0,0.0,2
355,0.0,0.5,0.0,0.0,0.0,2
356,0.0,0.0,0.5,1.0,0.0,1
357,0.0,1.0,0.5,1.0,0.5,1
358,0.0,0.5,0.0,0.0,0.0,2
359,0.0,1.0,0.5,0.0,0.5,2
360,1.0,0.5,0.5,0.0,0.0,2
361,0.0,0.0,0.0,0.0,0.0,2
362,1.0,0.0,0.0,0.0,1.0,2
363,0.0,0.0,1.0,1.0,1.0,0
364,0.5,0.0,0.5,0.0,1.0,2
365,1.0,0.0,1.0,0.0,1.0,0
366,1.0,0.0,0.0,0.0,1.0,2
367,0.0,1.0,0.0,0.0,0.5,2
368,0.0,0.5,1.0,0.5,0.5,0
369,0.5,0.0,1.0,1.0,1.0,0
370,1.0,0.5,0.0,0.5,1.0,1
371,1.0,0.0,1.0,1.0,1.0,0
372,0.0,0.5,1.0,0.5,1.0,0
373,0.0,0.5,0.0,1.0,0.5,1
374,1.0,1.0,0.0,1.0,1.0,1
375,1.0,0.5,0.0,1.0,1.0,1
376,0.0,0.0,0.0,0.0,1.0,2
377,1.0,0.0,1.0,0.0,1.0,0
378,0.0,0.5,0.5,0.0,1.0,2
379,0.0,0.5,0.0,1.0,0.0,1
380,0.0,1.0,1.0,1.0,1.0,0
381,0.0,0.5,1.0,1.0,1.0,0
382,0.0,0.5,1.0,1.0,0.0,0
383,1.0,1.0,1.0,1.0,1.0,0
384,1.0,1.0,1.0,1.0,1.0,0
385,1.0,0.5,0.0,0.0,1.0,2
386,1.0,1.0,0.5,0.5,0.5,0
387,0.5,0.5,1.0,0.0,0.5,0
388,1.0,1.0,0.5,1.0,1.0,1
389,1.0,0.5,0.0,0.5,0.0,2
390,0.5,0.5,0.5,1.0,1.0,1
391,0.0,0.5,0.5,0.0,1.0,2
392,1.0,1.0,0.0,1.0,1.0,1
393,0.0,0.0,0.0,0.0,0.0,2
394,1.0,0.5,1.0,1.0,1.0,0
395,1.0,1.0,0.0,1.0,0.5,1
396,1.0,1.0,0.5,0.0,0.5,2
397,1.0,0.5,0.0,1.0,1.0,1
398,1.0,0.0,0.5,0.5,1.0,0
399,1.0,0.5,0.5,0.0,0.5,2
400,1.0,1.0,0.5,0.0,1.0,2
401,1.0,0.0,0.5,0.0,0.5,2
402,1.0,0.0,0.5,1.0,0.5,1
403,0.0,0.0,0.5,0.5,0.5,2
404,1.0,0.5,0.5,0.0,1.0,2
405,0.5,0.5,0.5,1.0,0.5,1
406,0.0,0.5,0.5,0.0,0.5,2
407,1.0,0.5,0.5,0.0,1.0,2
408,1.0,0.0,1.0,0.0,1.0,0
409,1.0,0.5,0.5,0.0,0.5,2
410,0.5,0.0,1.0,1.0,1.0,0
411,0.0,0.0,1.0,1.0,1.0,0
412,1.0,0.0,0.0,0.0,1.0,2
413,0.5,0.0,0.0,1.0,1.0,1
414,1.0,0.0,0.0,0.0,1.0,2
415,1.0,0.0,0.0,0.0,1.0,2
416,1.0,0.5,0.5,1.0,1.0,1
417,0.5,0.5,0.0,1.0,1.0,1
418,0.5,0.0,1.0,0.5,1.0,0
419,1.0,0.5,0.0,1.0,1.0,1
420,0.0,0.0,1.0,1.0,1.0,0
421,1.0,0.0,1.0,1.0,1.0,0
422,1.0,0.5,0.5,1.0,1.0,1
423,0.0,0.5,1.0,0.0,0.5,0
424,1.0,0.0,0.5,0.5,1.0,0
425,0.0,0.0,0.0,1.0,0.0,1
426,0.5,0.0,0.0,1.0,1.0,1
427,0.0,0.0,1.0,0.0,0.5,0
428,1.0,0.5,0.0,1.0,0.5,1
429,0.5,0.0,1.0,1.0,1.0,0
430,0.5,0.5,0.0,0.5,0.0,2
431,0.0,0.0,0.0,0.0,0.0,2
432,0.5,0.5,0.5,0.5,1.0,1
433,1.0,0.0,0.5,0.5,0.5,0
434,1.0,0.5,1.0,1.0,1.0,0
435,1.0,0.0,0.0,0.5,1.0,1
436,1.0,0.5,0.0,0.5,1.0,1
437,1.0,0.5,1.0,0.5,1.0,0
438,1.0,0.5,1.0,0.0,1.0,0
439,1.0,0.0,0.0,1.0,1.0,1
440,0.5,0.0,1.0,1.0,1.0,0
441,1.0,0.5,1.0,1.0,1.0,0
442,1.0,0.0,0.5,0.0,1.0,2
443,0.5,0.5,1.0,0.5,1.0,0
444,1.0,0.0,0.0,0.0,1.0,2
445,0.5,0.0,1.0,0.5,1.0,0
446,0.0,0.0,1.0,0.0,1.0,0
447,1.0,0.5,0.0,0.5,0.0,2
448,0.0,0.0,0.0,1.0,1.0,1
449,0.5,0.0,0.0,1.0,1.0,1
450,1.0,0.5,0.0,0.5,0.0,2
451,0.0,0.5,0.0,1.0,0.5,1
452,1.0,1.0,0.5,1.0,0.0,1
453,1.0,0.5,0.5,0.5,1.0,0
454,1.0,0.0,0.5,1.0,0.5,1
455,0.5,0.0,1.0,0.5,0.0,0
456,0.5,0.0,0.0,0.5,0.5,2
457,1.0,0.5,1.0,0.5,1.0,0
458,0.0,0.0,0.5,1.0,1.0,1
459,1.0,0.5,1.0,1.0,1.0,0
460,0.5,0.5,0.0,0.5,1.0,1
461,0.5,0.0,0.0,1.0,1.0,1
462,0.5,0.5,0.5,1.0,1.0,1
463,1.0,0.5,0.0,0.5,1.0,1
464,1.0,1.0,0.5,1.0,1.0,1
465,1.0,0.0,0.0,1.0,0.5,1
466,1.0,0.5,0.0,1.0,0.5,1
467,1.0,0.0,0.5,1.0,1.0,1
468,1.0,0.0,1.0,0.0,1.0,0
469,1.0,0.0,1.0,1.0,0.5,0
470,0.5,0.5,0.0,0.5,0.0,2
471,1.0,1.0,0.5,1.0,1.0,1
472,0.0,1.0,1.0,0.5,0.0,0
473,1.0,0.0,0.5,0.5,1.0,0
474,0.5,1.0,1.0,1.0,1.0,0
475,0.5,0.5,0.0,0.5,0.0,2
476,1.0,1.0,0.5,1.0,1.0,1
477,1.0,0.5,0.5,0.5,0.5,0
478,0.0,0.0,0.0,1.0,0.0,1
479,0.0,0.5,0.0,0.0,0.0,2
480,1.0,0.5,0.5,0.0,0.5,2
481,1.0,0.5,0.0,0.5,1.0,1
482,0.0,0.0,0.5,0.0,0.5,2
483,0.5,0.0,0.0,0.5,1.0,1
484,0.0,0.0,1.0,1.0,1.0,0
485,0.0,0.5,0.5,0.0,1.0,2
486,0.0,0.0,1.0,1.0,1.0,0
487,0.0,1.0,0.0,0.5,0.0,2
488,1.0,0.0,1.0,1.0,1.0,0
489,0.5,0.0,0.5,0.0,0.5,2
490,0.5,0.5,0.0,1.0,1.0,1
491,0.5,0.5,1.0,0.0,0.5,0
492,0.0,1.0,1.0,0.5,0.0,0
493,1.0,0.0,1.0,1.0,1.0,0
494,1.0,0.5,1.0,1.0,1.0,0
495,0.5,1.0,1.0,0.5,1.0,0
496,0.5,0.0,0.5,1.0,1.0,1
497,1.0,0.0,0.5,0.0,1.0,2
498,0.0,1.0,0.0,1.0,1.0,1
499,0.0,1.0,0.0,1.0,1.0,1
500,1.0,0.0,0.0,1.0,1.0,1
501,1.0,0.5,1.0,1.0,1.0,0
502,0.5,0.0,0.5,1.0,1.0,1
503,1.0,0.0,0.5,0.5,1.0,0
504,0.0,0.5,0.5,1.0,1.0,1
505,0.0,1.0,0.0,1.0,0.0,1
506,1.0,0.0,1.0,1.0,0.5,0
507,0.5,0.0,1.0,1.0,1.0,0
508,1.0,0.0,0.0,1.0,1.0,1
509,0.5,0.0,1.0,0.5,1.0,0
510,0.5,0.0,0.5,1.0,1.0,1
511,0.5,0.0,0.0,1.0,1.0,1
512,1.0,0.0,1.0,0.5,1.0,0
513,0.5,0.0,0.0,1.0,1.0,1
514,0.5,0.0,1.0,1.0,1.0,0
515,1.0,0.0,0.0,1.0,1.0,1
516,1.0,0.0,1.0,1.0,1.0,0
517,1.0,0.0,0.0,1.0,1.0,1
518,0.0,0.0,1.0,1.0,1.0,0
519,0.5,0.0,0.5,1.0,1.0,1
520,1.0,0.0,0.0,0.5,1.0,1
521,0.5,0.0,0.0,1.0,1.0,1
522,0.5,0.0,0.0,1.0,1.0,1
523,0.5,0.0,0.0,0.5,1.0,1
524,1.0,0.0,0.0,0.0,1.0,2
525,0.5,0.0,0.0,0.5,1.0,1
526,1.0,0.0,0.0,1.0,1.0,1
527,1.0,0.0,0.0,0.0,1.0,2
528,1.0,0.0,0.0,0.0,1.0,2
529,1.0,0.0,0.0,0.0,1.0,2
530,1.0,1.0,0.5,1.0,1.0,1
531,0.0,0.5,0.0,0.5,1.0,1
532,0.0,0.0,0.5,1.0,1.0,1
533,1.0,0.0,0.5,0.0,1.0,2
534,1.0,0.0,0.0,0.0,1.0,2
535,0.5,0.5,1.0,0.5,1.0,0
536,1.0,0.0,1.0,1.0,1.0,0
537,1.0,0.0,1.0,1.0,1.0,0
538,0.5,0.0,1.0,1.0,1.0,0
539,0.0,0.5,0.0,0.0,0.0,2
540,1.0,0.5,1.0,1.0,0.5,0
541,0.5,0.5,0.5,0.5,1.0,1
542,0.0,0.0,0.0,0.5,0.5,2
543,0.5,0.0,0.5,1.0,1.0,1
544,1.0,0.0,1.0,0.0,1.0,0
545,1.0,0.0,0.5,1.0,1.0,1
546,1.0,0.0,1.0,0.5,1.0,0
547,1.0,0.0,0.0,0.5,1.0,1
548,1.0,1.0,0.5,0.5,0.5,0
549,1.0,0.0,1.0,0.5,1.0,0
550,1.0,0.0,1.0,1.0,1.0,0
551,1.0,0.0,0.0,1.0,1.0,1
552,0.5,0.0,1.0,1.0,0.5,0
553,1.0,0.0,0.5,1.0,1.0,1
554,1.0,0.5,0.5,1.0,0.5,1
555,1.0,0.0,1.0,0.5,1.0,0
556,1.0,0.0,1.0,1.0,1.0,0
557,1.0,0.5,0.0,1.0,0.5,1
558,1.0,0.0,1.0,1.0,1.0,0
559,1.0,0.5,1.0,0.5,1.0,0
560,1.0,0.5,1.0,1.0,0.5,0
561,1.0,0.0,1.0,0.0,1.0,0
562,1.0,0.0,1.0,1.0,1.0,0
563,1.0,0.0,1.0,0.0,1.0,0
564,1.0,0.0,0.5,1.0,1.0,1
565,1.0,0.5,1.0,1.0,1.0,0
566,1.0,0.0,0.0,1.0,1.0,1
567,1.0,0.0,1.0,0.5,1.0,0
568,0.5,0.0,0.0,0.5,1.0,1
569,0.5,0.0,0.5,1.0,1.0,1
570,1.0,0.5,0.0,0.5,1.0,1
571,1.0,0.0,1.0,1.0,1.0,0
572,1.0,0.5,1.0,0.0,1.0,0
573,1.0,0.5,0.5,1.0,1.0,1
574,0.0,0.0,1.0,1.0,1.0,0
575,0.5,0.0,0.0,0.0,1.0,2
576,1.0,0.0,1.0,1.0,1.0,0
577,1.0,0.5,1.0,1.0,1.0,0
578,1.0,1.0,1.0,1.0,1.0,0
579,0.0,1.0,1.0,1.0,1.0,0
