Unnamed: 0,area,ciudad,zona,residuos,residuos_especiales,agua,energia,conciencia,final
85,urbana,10150,CUENCA,1.0,0.0,0.0,1.0,1.0,1
86,urbana,10150,CUENCA,1.0,0.0,1.0,1.0,1.0,0
87,urbana,10150,CUENCA,1.0,0.0,1.0,1.0,1.0,0
88,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,1.0,2
89,urbana,10150,CUENCA,1.0,0.0,0.5,1.0,1.0,1
90,urbana,10150,CUENCA,1.0,0.5,1.0,0.5,1.0,0
91,urbana,10150,CUENCA,0.5,0.0,1.0,0.5,0.5,0
92,urbana,10150,CUENCA,1.0,0.5,1.0,0.5,0.0,0
93,urbana,10150,CUENCA,1.0,0.5,1.0,1.0,1.0,0
94,urbana,10150,CUENCA,0.5,0.0,0.0,1.0,0.0,1
95,urbana,10150,CUENCA,0.5,0.5,0.5,0.0,0.5,2
96,urbana,10150,CUENCA,1.0,1.0,1.0,0.5,0.5,0
97,urbana,10150,CUENCA,1.0,0.5,0.5,0.5,0.0,2
98,urbana,10150,CUENCA,0.0,0.5,1.0,0.0,0.5,0
99,urbana,10150,CUENCA,1.0,0.0,1.0,0.5,0.5,0
100,urbana,10150,CUENCA,0.5,0.0,0.5,0.0,1.0,2
101,urbana,10150,CUENCA,0.5,0.0,0.0,0.0,1.0,2
102,urbana,10150,CUENCA,0.5,0.5,0.0,0.0,0.5,2
103,urbana,10150,CUENCA,0.0,1.0,0.5,0.0,0.5,2
104,urbana,10150,CUENCA,0.0,0.0,0.5,1.0,1.0,1
105,urbana,10150,CUENCA,0.5,0.5,0.5,1.0,1.0,1
106,urbana,10150,CUENCA,1.0,0.0,0.5,1.0,1.0,1
107,urbana,10150,CUENCA,1.0,0.0,0.5,1.0,1.0,1
108,urbana,10150,CUENCA,0.0,0.5,0.5,0.0,1.0,2
109,urbana,10150,CUENCA,0.5,0.0,0.5,1.0,1.0,1
110,urbana,10150,CUENCA,0.0,0.5,1.0,0.5,0.5,0
111,urbana,10150,CUENCA,0.0,0.0,1.0,0.0,0.5,0
112,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,0.5,2
113,urbana,10150,CUENCA,1.0,0.0,1.0,1.0,1.0,0
114,urbana,10150,CUENCA,0.5,0.0,0.0,0.0,1.0,2
115,urbana,10150,CUENCA,0.0,0.0,0.0,0.0,1.0,2
116,urbana,10150,CUENCA,0.0,1.0,1.0,0.5,0.0,0
117,urbana,10150,CUENCA,0.0,0.0,0.0,1.0,0.0,1
118,urbana,10150,CUENCA,0.5,1.0,1.0,1.0,0.0,0
119,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,0.5,2
120,urbana,10150,CUENCA,0.5,0.0,1.0,1.0,1.0,0
121,urbana,10150,CUENCA,0.5,0.0,1.0,0.0,0.0,0
122,urbana,10150,CUENCA,0.5,0.0,0.0,0.0,1.0,2
123,urbana,10150,CUENCA,1.0,0.0,0.5,0.0,1.0,2
124,urbana,10150,CUENCA,0.0,0.5,0.0,0.0,0.0,2
