indice,residuos,residuos_especiales,agua,energia,conciencia
2796,1,0.5,1,0.5,0
2797,1,1,1,1,1
2798,1,1,1,0,1
2799,1,1,0,0.5,0
2800,1,0.5,1,0.5,1
2801,1,1,0,0.5,0.5
2802,1,1,0,0.5,1
2803,1,0.5,1,1,1
2804,1,1,0,1,1
2805,1,0.5,1,1,0.5
2806,0.5,0,0,1,1
2807,1,0.5,1,1,1
2808,1,0,0.5,0.5,1
2809,1,0,0.5,0,1
2810,1,0,0.5,0,1
2811,0.5,0,0.5,0.5,1
2812,1,0,1,1,1
2813,1,0,0.5,0.5,1
2814,1,0,0,0,1
2815,1,0,0.5,0.5,1
2816,1,0.5,1,1,1
2817,0.5,0.5,0,1,0
2818,0.5,0.5,1,1,1
2819,1,0.5,0.5,1,0
2820,0.5,0,0,1,1
2821,1,0.5,1,1,0.5
2822,0.5,0,0,1,0
2823,1,0.5,0,0.5,0.5
2824,1,0.5,1,1,1
2825,0.5,0,0,1,1
2826,0.5,0.5,0,1,0
2827,0.5,0,0,1,0
2828,1,0.5,0,1,0
2829,0.5,0,0,1,0
2830,0.5,0,0,1,0
2831,0.5,0,0.5,0.5,0.5
2832,1,0,0,1,0
2833,1,0.5,0,1,0
2834,0.5,0,0,0.5,0.5
2835,1,0,0,1,1
2836,1,0.5,1,1,0
2837,1,0,0,1,0
2838,0.5,1,0,0,0.5
2839,0.5,1,0.5,1,1
2840,1,0.5,1,0,1
2841,1,0.5,1,0,1
2842,0.5,0.5,0.5,1,1
2843,1,1,1,1,1
2844,0.5,0.5,0.5,0,1
2845,1,1,0,1,1
2846,1,0.5,1,1,0
2847,1,1,1,1,1
2848,1,1,0.5,1,1
2849,1,0.5,0,1,1
2850,0.5,0.5,0,1,0.5
2851,1,0,1,1,1
2852,1,0.5,0,1,0
2853,0.5,0.5,0,1,0.5
2854,0.5,1,0,0.5,0.5
2855,0.5,0,0,0,0
2856,1,0.5,0.5,0.5,0
2857,1,1,1,0,0.5
2858,1,1,1,1,1
2859,1,1,0,1,0.5
2860,1,1,0,1,1
2861,0.5,0.5,1,1,0.5
2862,1,1,1,1,1
2863,1,1,0.5,1,1
2864,1,0.5,0,1,1
2865,0,0.5,1,0,1
2866,0.5,0.5,0,0,0
2867,0.5,0.5,0.5,0.5,1
2868,1,1,1,0,1
2869,1,0.5,0.5,0,0
2870,1,1,0,0,0.5
2871,1,1,0.5,0.5,1
2872,1,0.5,0,1,0
2873,0.5,0.5,0.5,0.5,1
2874,1,0.5,1,0,0.5
2875,0,1,0,0,1
2876,1,0.5,0.5,0.5,1
2877,0.5,0.5,0.5,0,1
2878,0.5,0.5,0.5,0,0.5
2879,1,0.5,0.5,0,1
2880,1,0.5,1,0.5,1
2881,0,0.5,0,1,0.5
2882,1,0.5,1,1,1
2883,1,0.5,1,1,0
2884,0,0.5,0,0,1
2885,0.5,1,0.5,1,0.5
2886,1,0.5,0.5,0,1
2887,1,1,1,0.5,1
2888,0.5,1,1,1,1
2889,0.5,1,0.5,0.5,1
2890,1,1,0,0,0.5
2891,1,0.5,0,1,0
2892,1,1,0,0,1
2893,0.5,1,1,1,1
2894,1,1,0,0.5,0
2895,0.5,0.5,1,1,0.5
2896,0,0.5,0,0.5,0
2897,1,0.5,0,0,1
2898,1,0,0,0.5,1
2899,0,1,0,0.5,1
2900,0.5,1,1,1,1
2901,1,0,1,1,0.5
2902,0,1,0,0,0
2903,1,0.5,1,1,1
2904,0.5,0.5,0.5,0.5,0.5
2905,0.5,1,0,0,0.5
2906,1,0.5,1,0.5,1
2907,0.5,0.5,1,1,0.5
2908,1,0.5,0.5,0,1
2909,0.5,0.5,1,0.5,1
2910,1,1,1,0.5,0.5
2911,1,1,1,1,1
2912,0.5,0,0.5,0,1
2913,0.5,0.5,0.5,0,0
2914,1,0,1,1,1
2915,0.5,0.5,1,1,1
2916,1,0.5,1,0,0
2917,1,1,1,0.5,1
2918,1,0,0,1,1
2919,0.5,0.5,0,0.5,0.5
2920,0.5,1,1,0.5,1
2921,0.5,0,0.5,1,0
2922,0,0.5,0,1,1
2923,1,0.5,1,0.5,0
2924,0,0.5,1,0,1
2925,0.5,1,0,0,1
2926,0.5,1,1,0,1
2927,0,1,0.5,0.5,1
2928,1,0.5,0,1,0
2929,0.5,0.5,0,0,0
2930,1,0,0,0,0
2931,0,0.5,0,0,0.5
2932,0.5,1,1,0,1
2933,1,0.5,1,0,1
2934,0.5,0,0.5,1,0
2935,0,0.5,0.5,0,0.5
2936,0,0,1,0.5,0.5
2937,1,0.5,1,0,0.5
2938,1,1,0.5,0,0.5
2939,0.5,0.5,0,0,0
2940,0.5,1,1,0.5,0
2941,1,1,1,1,1
2942,0,1,1,0,0
2943,1,1,1,1,1
2944,1,1,1,1,1
2945,1,1,1,1,1
2946,0.5,1,1,0,1
2947,1,0.5,1,1,1
2948,0.5,0.5,1,0,0.5
2949,0.5,0.5,1,1,0
2950,0.5,0.5,1,0,0.5
2951,0.5,0.5,1,0,0.5
2952,1,0.5,0,0.5,1
2953,1,0,1,0,1
2954,0,0,0,0,1
2955,1,0,1,1,0.5
2956,1,0.5,0.5,1,1
2957,0,0.5,0,0,1
2958,0,1,0.5,0,0
2959,0,0,1,1,1
2960,1,0,1,1,0.5
2961,1,0,1,1,0.5
2962,0,0,1,1,1
2963,1,0.5,0,0,0.5
2964,0,0,1,1,0
2965,1,0.5,0,0.5,1
2966,1,1,1,0,0.5
2967,1,0.5,0.5,0.5,1
2968,1,0.5,0,1,1
2969,1,0.5,1,1,1
2970,0.5,0.5,0,0,0.5
2971,0,0.5,0,0.5,1
2972,1,0.5,0,0,0.5
2973,1,1,0,0,1
2974,0.5,0.5,0,0,0.5
2975,1,0.5,0,0.5,1
2976,1,1,0.5,0,0.5
2977,0,0.5,0.5,0.5,1
2978,1,1,0.5,0,0.5
2979,1,0,0.5,0.5,0
2980,0,1,1,0.5,1
2981,0.5,1,1,0.5,1
2982,1,0.5,1,1,1
2983,0.5,1,1,1,0
2984,0.5,0,0,0,0
2985,0.5,1,0,1,1
2986,0.5,0,1,0.5,0
2987,0.5,0.5,0.5,0,0
2988,0.5,1,0.5,0,1
2989,0.5,1,0,1,1
2990,1,1,1,0.5,0
2991,0.5,1,0,1,0.5
2992,0.5,1,0,1,1
2993,1,1,0,1,1
2994,0.5,1,0,0.5,1
2995,1,0.5,1,0.5,0
2996,1,1,0,1,0.5
2997,1,1,0,0,0
2998,0.5,0.5,0,0.5,1
2999,0,0.5,0,0,0
3000,0,0,0,0,0
3001,0,0.5,0,0,0.5
3002,0.5,0.5,0,0,0
3003,0,0.5,1,0,0.5
3004,0.5,0.5,0,1,0.5
3005,1,0,0.5,0,0
3006,0,0,0.5,0,0
3007,1,0.5,0,0,1
3008,0.5,1,1,1,0.5
3009,0,1,0,0,0
3010,1,0.5,1,0.5,1
3011,0.5,0.5,1,0,0
3012,1,1,0.5,1,0.5
3013,1,1,0.5,0,1
3014,0.5,1,0,0,0.5
3015,1,0.5,1,0.5,0.5
3016,1,0.5,0,1,1
3017,0.5,0.5,0,0,0
3018,1,1,0.5,0,0
3019,1,0.5,1,0,1
3020,0,0.5,0.5,0.5,0
3021,0.5,0.5,0,0.5,1
3022,1,0.5,0,0,0.5
3023,1,1,1,0,1
3024,1,0.5,1,0.5,1
3025,1,1,1,0,0
3026,0.5,0.5,0,0,0.5
3027,1,1,1,0,1
3028,1,0.5,0,0.5,0.5
3029,1,1,1,0.5,0
3030,0.5,1,1,0.5,0
3031,0.5,1,1,0.5,0.5
3032,1,0.5,1,0,0.5
3033,0.5,0.5,1,0,0
3034,1,0.5,1,0,1
3035,0,0,1,0,0.5
3036,0.5,0.5,0,0.5,0.5
3037,1,0.5,1,0,0.5
3038,0.5,1,0.5,0,0
3039,0.5,0.5,0,0.5,1
3040,0,0,1,0,1
3041,1,1,0,0,0
3042,0.5,0.5,0,0,1
3043,1,0.5,1,0,0
3044,0.5,1,0,1,0
3045,0.5,1,0,0.5,0.5
3046,1,1,0,1,0
3047,1,1,1,0,0.5
3048,0.5,1,1,0,0.5
3049,0.5,0.5,0.5,0,0.5
3050,0.5,1,0.5,1,0.5
3051,1,0.5,0.5,0,0.5
3052,0.5,1,0,1,0.5
3053,1,0.5,0.5,0,0.5
3054,1,0.5,0.5,0,1
3055,0.5,1,0,0.5,1
3056,1,0,1,1,1
3057,1,0,1,0,1
3058,1,0.5,1,0,0
3059,0.5,0.5,1,1,0
3060,1,0.5,1,0,0
3061,1,0,1,1,1
3062,1,0.5,1,0,1
3063,1,0,1,1,0
3064,1,0.5,1,0.5,1
3065,0.5,1,0,0.5,1
3066,0.5,0.5,0,0.5,0.5
3067,1,0.5,0,0.5,0.5
3068,1,1,1,0,0.5
3069,1,1,0,0.5,0.5
3070,1,0.5,0,0.5,0.5
3071,0.5,1,1,1,0
3072,1,0.5,1,1,0
3073,1,0.5,0,0,1
3074,0.5,0.5,1,0.5,0.5
3075,0.5,0.5,1,1,1
3076,1,1,0,0,0.5
3077,1,0,1,1,1
3078,0.5,1,1,1,1
3079,1,1,1,0.5,1
3080,1,0.5,1,0,0
3081,1,0.5,1,0,0
3082,0.5,0,1,0,1
3083,0.5,0,1,1,0
3084,1,1,1,0.5,0
3085,0.5,0.5,1,1,1
3086,1,1,0,0,0.5
3087,1,1,1,0,0
3088,0.5,0.5,0,0,1
3089,0.5,1,0,0,1
3090,1,1,0,0,0.5
3091,1,1,1,0,0.5
3092,0.5,0.5,0,1,1
3093,0,0.5,0.5,0,1
3094,1,1,0,0,0.5
3095,1,0.5,1,0.5,0.5
3096,1,0.5,1,0,0
3097,0,0,1,0,0.5
3098,0,0,1,0,1
3099,1,1,0.5,0,1
3100,1,0.5,1,0,0
3101,0,0,0,0,1
3102,1,0,0.5,0,1
3103,1,1,1,0,1
3104,1,0.5,1,0,0
3105,0,1,1,0,1
3106,0.5,0.5,0.5,0,1
3107,1,0.5,1,0.5,1
3108,1,0.5,1,0,1
3109,0,0,1,0,1
3110,1,0.5,0,0,0
3111,1,0,1,0,0.5
3112,0.5,1,1,0,1
3113,1,0.5,1,1,1
3114,1,0.5,1,0,1
3115,0.5,0.5,1,0.5,0.5
3116,0.5,1,0.5,1,1
3117,1,0.5,1,1,1
3118,1,1,1,0,1
3119,0.5,0.5,1,1,1
3120,0.5,0.5,1,1,1
3121,0.5,0.5,1,0.5,1
3122,0.5,1,1,0,0
3123,0.5,0.5,1,1,1
3124,0.5,1,1,0,1
3125,1,0.5,1,1,0.5
3126,0.5,1,0.5,0,0.5
3127,0.5,1,1,0,0
3128,0,0,0,0.5,0.5
3129,0,1,0,0,0.5
3130,0,1,0,0.5,0.5
3131,1,1,0,0.5,1
3132,1,0,1,0.5,0.5
3133,0.5,1,0.5,0,1
3134,1,1,1,0,1
3135,1,0.5,1,0.5,0.5
3136,1,0.5,1,0.5,0.5
3137,1,0.5,1,0,1
3138,0.5,0.5,0.5,1,0
3139,1,1,0.5,1,1
3140,0.5,0,0,0,0
3141,0.5,1,1,0,1
3142,0.5,0.5,0.5,0,0.5
3143,1,0.5,0,0,1
3144,0,1,0.5,1,0.5
3145,0.5,0,1,0,0
3146,1,0.5,0.5,1,1
3147,1,0.5,1,1,0
3148,0.5,0.5,0.5,0,1
3149,1,0.5,1,1,0.5
3150,1,0.5,1,1,0
3151,1,0.5,1,0,1
3152,1,0.5,0.5,0,0.5
3153,1,0.5,1,0,1
3154,1,0.5,1,0,1
3155,1,0.5,0.5,0.5,1
3156,1,0.5,1,0,0.5
3157,1,1,1,0,0.5
3158,0.5,0.5,0.5,0,1
3159,0.5,1,0,0,0
3160,1,1,1,1,1
3161,1,0.5,0.5,0,1
3162,0.5,0,0,1,0
3163,0.5,0.5,0,1,0
3164,0.5,0.5,1,1,0.5
3165,1,0,0,0,0.5
3166,1,1,1,0.5,0
3167,0.5,0.5,0,0,0
3168,1,0.5,1,0.5,0
3169,0.5,0.5,1,0,0
3170,1,0.5,1,0.5,0
3171,1,0.5,1,1,1
3172,1,0.5,1,1,1
3173,1,0,0,0,0
3174,0.5,0.5,0.5,0,1
3175,1,1,0.5,1,1
3176,1,0.5,0.5,0,1
3177,0.5,0.5,0.5,0,0.5
3178,1,0,1,1,0
3179,0.5,1,0,1,1
3180,0.5,0.5,0.5,0.5,0.5
3181,0.5,1,0,0.5,0
3182,0.5,1,1,0.5,0.5
3183,0.5,0.5,0,0.5,0.5
3184,0,0.5,1,0,0.5
3185,1,1,0.5,0.5,0.5
3186,1,0,0.5,0,0.5
3187,0,0.5,0,0,0
3188,0,0,0.5,0,0.5
3189,0.5,0.5,1,0,0.5
3190,0,0.5,0,0,0
3191,0.5,0.5,1,0,0.5
3192,0.5,0.5,0.5,0,0
3193,0.5,0.5,0.5,0,0.5
3194,1,0,0,0,0
3195,0.5,0.5,0,0,0.5
3196,0.5,0.5,1,1,1
3197,0.5,0.5,0.5,0,0.5
3198,0.5,1,1,0,0
3199,0,1,0,0.5,0
3200,1,0.5,0.5,1,0
3201,1,0.5,0.5,1,0
3202,1,1,0,0.5,0.5
3203,0,0.5,0,1,0
3204,1,1,1,0,0
3205,1,1,1,1,0
3206,1,1,1,1,0
3207,1,0.5,0.5,1,0
3208,0.5,1,0,1,0.5
3209,1,0.5,1,1,0
3210,0,0.5,1,0,1
3211,0.5,0.5,0.5,0,0.5
3212,0.5,0.5,0,0.5,1
3213,1,0.5,0,0,0.5
3214,1,0.5,0,0,0.5
3215,0.5,0.5,0,0,0.5
3216,1,1,1,0.5,0
3217,0.5,0.5,0,0,0.5
3218,1,0.5,0,0,0
3219,1,0.5,1,0.5,0
3220,0.5,0.5,0,0.5,1
3221,1,1,1,0.5,0
3222,0.5,0.5,1,0,0
3223,1,0.5,0,1,1
3224,1,0.5,0,1,1
3225,0.5,0.5,0,0,0
3226,0.5,0.5,0,1,0.5
3227,0.5,0.5,0,1,0
3228,1,0,1,1,0.5
3229,1,1,1,0.5,1
3230,1,0.5,0,1,1
3231,1,1,0,1,1
3232,0.5,0.5,0,0,0
3233,1,0,1,0.5,0.5
3234,1,1,1,0,1
3235,1,1,1,0,1
3236,1,1,0.5,0.5,1
3237,1,1,1,0,1
3238,1,1,0,1,1
3239,1,1,1,0.5,1
3240,0.5,1,0,0,1
3241,0.5,1,0,0,1
3242,1,1,0.5,0,1
3243,1,1,1,0,1
3244,1,1,1,0,1
3245,0.5,1,0.5,0.5,1
3246,1,0,0.5,0,0.5
3247,1,1,0,1,1
3248,0.5,0.5,1,0,1
3249,1,0.5,1,1,0.5
3250,1,1,0,1,0
3251,0,0.5,0,0.5,1
3252,1,1,0.5,0.5,0
3253,1,0.5,1,0,1
3254,1,0.5,0.5,0.5,1
3255,1,0.5,0,0,1
3256,1,1,0,0,0.5
3257,1,0,1,1,1
3258,1,1,1,0.5,0
3259,1,0.5,1,1,1
3260,1,0.5,0.5,1,0.5
3261,0.5,0,1,0,0.5
3262,0.5,1,1,1,1
3263,1,1,0.5,1,1
3264,1,0.5,1,0.5,0.5
3265,0.5,0.5,1,0,1
3266,1,0.5,0,0,0.5
3267,1,0.5,1,1,1
3268,1,0,1,1,1
3269,0,0,1,0,0
3270,0,0,1,0,0
3271,1,0,1,0,1
3272,1,0.5,1,0,0
3273,1,0.5,1,0,0
3274,1,0,1,0,1
3275,1,0,1,0,1
3276,1,0,1,1,0
3277,0.5,0,1,0,1
3278,1,0,1,0,0
3279,0.5,1,1,0,1
3280,0.5,0.5,0.5,0,0.5
3281,0.5,0.5,0.5,0,0.5
3282,1,0,0,0,0.5
3283,1,0,0,0,0.5
3284,0.5,0.5,0,0.5,1
3285,1,0.5,0,0.5,0
3286,0.5,0.5,0.5,0,0.5
3287,0.5,1,0,0.5,0.5
3288,1,0,0,0,0.5
3289,1,0.5,0,0.5,1
3290,1,1,0.5,0.5,1
3291,1,0.5,1,1,1
3292,1,0,0.5,1,0.5
3293,1,1,1,1,1
3294,1,0,0.5,0,0.5
3295,1,0,1,0,0
3296,0.5,0.5,0.5,1,0.5
3297,1,0.5,0,0.5,0.5
3298,0.5,0.5,0,1,0.5
3299,1,0.5,0.5,1,0
3300,1,1,0,0.5,0
3301,1,0.5,1,1,1
3302,1,0,0.5,1,1
3303,1,0.5,0,1,0.5
3304,0.5,0,1,0,0
3305,1,0.5,1,0.5,0
3306,0.5,1,1,0.5,1
3307,1,0.5,1,0,0
3308,0.5,0,1,1,1
3309,1,0,1,0,1
3310,0.5,0,1,1,0
3311,0.5,0,1,1,1
3312,0.5,0.5,1,0.5,0
3313,0.5,0.5,1,1,1
3314,1,1,1,1,1
3315,0.5,0.5,1,0,1
3316,1,0.5,1,1,1
3317,0.5,0.5,1,0.5,1
3318,0.5,0.5,0,0,0.5
3319,0.5,1,0.5,0,1
3320,1,0.5,1,1,1
3321,0.5,0.5,1,0,1
3322,1,0.5,1,1,1
3323,1,0,0,0,0
3324,1,0.5,1,0.5,1
3325,0.5,0,0.5,0,0.5
3326,0.5,0,1,0,0
3327,1,0,0.5,0,0
3328,1,0,0,0,0.5
3329,0.5,0,1,0,1
3330,1,0.5,1,0,0
3331,1,0.5,0,0,0
3332,1,0.5,0.5,0,0.5
3333,0.5,1,0.5,0,0.5
3334,1,0,1,1,0
3335,1,0.5,1,1,1
3336,0.5,0.5,1,0,1
3337,1,0.5,1,0,0
3338,0,0,1,0,0
3339,1,0.5,1,1,1
3340,0.5,0.5,0.5,0,0
3341,0,0,1,0,1
3342,0.5,1,0.5,0,0
3343,1,0.5,1,1,1
3344,1,0,1,0,1
3345,1,0.5,0,1,1
3346,1,0,1,0,1
3347,0.5,0,0,0.5,0
3348,0.5,0.5,0,0,1
3349,1,0.5,0,0,0.5
3350,1,1,1,0,0
3351,0.5,0.5,0.5,0,0
3352,1,1,0.5,0.5,0
3353,1,1,1,1,0
3354,0.5,0,0,0,1
3355,1,1,1,0.5,1
3356,1,0.5,0,1,1
3357,0.5,1,1,0,0
3358,0.5,0.5,0,0,1
3359,1,0.5,0,0.5,0
3360,1,0.5,0,0,0
3361,0.5,0.5,0,0,1
3362,1,0.5,0,0.5,0.5
3363,1,1,1,0,0.5
3364,0.5,0.5,0.5,0.5,1
3365,0,0,0,0,0.5
3366,1,1,1,1,1
3367,1,1,1,1,1
3368,0.5,0.5,0,0.5,1
3369,1,0.5,0.5,0,0.5
3370,0,0.5,0,0,1
3371,1,1,0,0,1
3372,1,0.5,1,1,1
3373,0.5,1,1,1,1
3374,1,1,1,1,1
3375,0.5,0.5,1,0.5,1
3376,0.5,0.5,1,1,1
3377,0.5,1,1,1,1
3378,1,0.5,1,1,1
3379,1,0.5,1,1,1
3380,1,0.5,1,1,1
3381,1,1,1,1,1
3382,1,1,0.5,0,0
3383,1,1,1,0.5,0
3384,0.5,1,1,1,0.5
3385,0.5,1,0,1,0
3386,0.5,1,1,1,0
3387,1,0.5,0.5,0,0
3388,0.5,0.5,0,1,0
3389,1,1,1,0.5,0
3390,0.5,1,0,0.5,0
3391,0.5,1,0,0.5,0
3392,0,1,0,1,0
3393,1,1,0,1,0
3394,0.5,0,0.5,0.5,0
3395,1,1,0.5,0.5,1
3396,1,1,1,0,0.5
3397,1,1,1,1,0.5
3398,1,1,1,0,0
3399,1,0.5,0.5,0.5,0.5
3400,1,1,1,1,1
3401,0.5,1,0,0.5,0
3402,0.5,0.5,1,1,1
3403,1,1,1,0,0.5
3404,1,1,1,1,0
3405,1,0.5,0.5,0.5,0.5
3406,1,1,0,1,0.5
3407,1,0.5,0.5,0,0
3408,1,1,0.5,1,0
3409,1,1,0,1,0
3410,0,0.5,0.5,0,0
3411,0.5,1,0,1,0.5
3412,0.5,1,0,0.5,0
3413,1,0.5,0.5,0,0
3414,1,1,0,0.5,0
3415,0.5,1,1,1,0.5
3416,0.5,1,0,0.5,0
3417,0,1,1,1,0
3418,0.5,1,0.5,0,0.5
3419,1,0.5,0.5,0,0.5
3420,0.5,1,0.5,0,0
3421,0.5,0.5,0.5,0,0
3422,0.5,0.5,0.5,0,0
3423,1,1,0,1,0.5
3424,0.5,0.5,0.5,0,0
3425,0.5,0.5,0.5,0,0.5
3426,0.5,0.5,0.5,0,0
3427,0.5,0,0,1,0.5
3428,0.5,0.5,0.5,0,0
3429,0.5,0.5,0.5,0,0
3430,0.5,0.5,0.5,0,0.5
3431,1,0,1,1,0
3432,0.5,1,0.5,0,0.5
3433,1,0.5,0,1,0
3434,1,0.5,0,0,1
3435,1,1,0,1,1
3436,0.5,0.5,0,1,1
3437,1,0,0.5,0,1
3438,1,0,0,0,0
3439,0.5,0.5,0,0,0.5
3440,0.5,0.5,0.5,0,0.5
3441,1,1,0,1,0.5
3442,1,1,1,1,1
3443,0,0.5,1,1,0.5
3444,1,0.5,0,0,0
3445,1,0.5,0.5,0,1
3446,0.5,0.5,0,1,1
3447,1,0.5,0,1,1
3448,0.5,1,1,1,0
3449,1,0.5,0,0,0.5
3450,1,0.5,0,0,1
3451,1,0.5,0.5,0,0.5
3452,1,1,0,0.5,1
3453,1,0.5,0,1,0.5
3454,1,1,0,1,1
3455,0.5,0.5,0.5,0.5,1
3456,1,0.5,1,0.5,0.5
3457,1,0.5,0.5,0,0.5
3458,1,1,1,0.5,0
3459,1,0.5,0,0,0.5
3460,0.5,0.5,0,0.5,1
3461,1,0.5,1,0.5,0.5
3462,1,1,1,0.5,1
3463,1,0,0,0.5,1
3464,0.5,0.5,0,0,0.5
3465,1,0.5,1,0.5,1
3466,1,0.5,0,0,0.5
3467,0.5,1,0,0.5,0
3468,0.5,0.5,0.5,0,0
3469,1,0.5,0.5,0,0.5
3470,1,0.5,0.5,0,0.5
3471,0.5,0.5,1,0,0.5
3472,1,0.5,0.5,0,0
3473,0,0.5,0,0,0.5
3474,0.5,0.5,0.5,0.5,0.5
3475,0.5,0.5,0.5,0,1
3476,1,0.5,0.5,0,0
3477,0.5,0,0,1,0.5
3478,1,1,1,0,0.5
3479,0.5,0.5,0.5,0,0.5
3480,0,1,0,0,0.5
3481,1,0.5,1,1,1
3482,0,0.5,0.5,0.5,1
3483,1,0.5,1,0,1
3484,1,0.5,1,0,1
3485,0.5,0.5,1,1,0.5
3486,0.5,0.5,0,0,0.5
3487,1,0.5,1,0,0.5
3488,1,1,0,1,1
3489,1,0.5,0.5,0,0
3490,1,0.5,1,0.5,0
3491,0.5,0.5,1,1,1
3492,0,0.5,0,0,0
3493,0.5,1,1,0,1
3494,0,1,1,0,1
3495,0,0.5,0,0,1
3496,0,1,0,0,1
3497,0.5,0.5,0,1,1
3498,1,1,0.5,1,0.5
3499,0,0.5,0,0.5,0
3500,1,0.5,0,0,0
3501,0,1,0,0,0
3502,0,0,1,0.5,0.5
3503,0.5,1,0.5,0,0.5
3504,1,0.5,0.5,0,0
3505,1,1,0,1,1
3506,0.5,1,0,0.5,0
3507,0.5,0,1,0,0
3508,1,1,0,0.5,0
3509,1,0.5,0,0.5,0
3510,1,0.5,0.5,0,1
3511,0.5,0.5,0,0,1
3512,0.5,0.5,0.5,0,0.5
3513,0,1,0,0.5,0
3514,0.5,1,0,0.5,0
3515,1,1,0,0.5,0
3516,1,0,1,1,0.5
3517,0,0.5,1,0,0
3518,1,0.5,0.5,0,0.5
3519,0,1,0,0,0.5
3520,0.5,1,0,0.5,0.5
3521,0.5,1,0,1,0
3522,1,1,0,0,0.5
3523,1,0.5,1,0,0.5
3524,1,1,1,0,1
3525,0.5,1,0.5,1,0.5
3526,0,1,1,0.5,0.5
3527,0,0.5,0.5,0.5,1
3528,1,1,0,1,0.5
3529,0,0.5,0.5,1,0.5
3530,1,1,1,0.5,1
3531,0,0.5,1,0,1
3532,1,0.5,1,1,0
3533,1,0.5,1,1,1
3534,1,1,0.5,0.5,1
3535,0.5,0.5,0,0,1
3536,0.5,1,0.5,0,1
3537,0,0.5,1,0,1
3538,1,0.5,0,0,1
3539,1,1,1,0.5,1
3540,1,0,0,1,0
3541,0,1,0,1,0.5
3542,0.5,1,1,0,0
3543,1,0.5,0,0.5,0
3544,1,1,1,0.5,0
3545,0.5,1,0.5,1,1
3546,1,1,1,0.5,0
3547,0.5,0.5,0,0,0.5
3548,1,0.5,0,0,1
3549,0.5,0.5,0,0.5,0.5
3550,0.5,1,0,0.5,1
3551,0,0,1,1,0.5
3552,1,0.5,0,0,0.5
3553,1,0.5,0,0,0.5
3554,1,1,0,0,0.5
3555,1,0.5,0,0.5,0
3556,1,0,1,0.5,1
3557,1,1,0,0.5,1
3558,1,1,0,1,0
3559,1,1,1,1,0.5
3560,1,0.5,0,0,0
3561,0.5,1,0,0.5,1
3562,0,0.5,0,1,0.5
3563,0.5,0.5,0,0,1
3564,1,0.5,1,1,0.5
3565,0,1,1,1,0.5
3566,1,0.5,0,1,0.5
3567,0.5,0.5,0,0,1
3568,1,0.5,1,1,0.5
3569,1,0.5,1,0.5,1
3570,0.5,0.5,0,0.5,1
3571,0,0.5,1,1,0.5
3572,1,0.5,0,1,0.5
3573,1,0.5,0.5,0,1
3574,1,0,1,1,1
3575,0,0.5,1,1,1
3576,1,0.5,1,1,1
3577,1,1,1,1,0.5
3578,1,0.5,0,0,1
3579,1,0.5,0.5,0,0
3580,1,1,1,0,1
3581,0,0.5,0,0,0
3582,1,0,1,1,1
3583,1,1,0.5,0,0.5
3584,1,1,0,0.5,0.5
3585,1,0.5,1,0,1
3586,1,1,0,1,0
3587,1,0.5,1,1,0.5
3588,0.5,1,1,1,0
3589,1,1,0,0.5,1
3590,1,1,1,0,1
3591,0.5,1,1,0,1
3592,1,1,1,1,1
3593,1,0.5,1,0.5,0.5
3594,1,0.5,0,0.5,1
3595,1,1,0,1,1
3596,0,0,1,0,0.5
3597,1,0.5,0,0.5,1
3598,0.5,0.5,1,0,1
3599,0,1,0.5,0.5,1
3600,0,1,1,1,1
3601,0,0.5,1,1,1
3602,1,1,1,0,1
3603,1,1,1,1,1
3604,1,1,0.5,0.5,0
3605,1,0.5,1,1,1
3606,0,1,1,0.5,0
3607,1,0.5,0.5,0,0.5
3608,0.5,1,1,0.5,0.5
3609,0.5,0,1,0.5,0
3610,1,0.5,1,0.5,1
3611,1,1,0,1,0.5
3612,0.5,0.5,0,1,0.5
3613,0.5,0.5,1,1,0.5
3614,1,1,1,0.5,0.5
3615,1,1,1,0.5,1
3616,0.5,0.5,0.5,1,1
3617,0,0.5,1,0,0.5
3618,0.5,0.5,1,1,1
3619,1,0.5,0.5,1,0.5
3620,0.5,1,1,0.5,0.5
3621,1,1,1,1,1
3622,1,0.5,0,0,0.5
3623,0.5,0.5,1,0,0.5
3624,1,1,1,0,1
3625,0.5,1,0,1,0.5
3626,0,0.5,0.5,0,0.5
3627,0.5,0.5,1,1,0.5
3628,1,0.5,1,0.5,0.5
3629,1,0.5,0,0,0.5
3630,0.5,0.5,1,1,0.5
3631,1,0.5,1,1,1
3632,0,0.5,1,1,0.5
3633,1,0.5,0,0,1
3634,1,0.5,0.5,0,1
3635,0.5,1,0,0,0.5
3636,1,0.5,1,0.5,1
3637,1,0.5,1,1,1
3638,0.5,0.5,0,0,0.5
3639,1,0.5,1,0,1
3640,0,0,0,0,1
3641,1,1,0.5,0,1
3642,0.5,0.5,1,1,1
3643,1,1,0.5,0.5,1
3644,1,1,1,0,0
3645,1,0.5,0,0,1
3646,1,0.5,0,1,0.5
3647,1,0.5,1,0.5,1
3648,0.5,0.5,0,1,1
3649,0,0.5,0,0.5,1
3650,1,0.5,0,0,1
3651,1,0,1,0.5,1
3652,0.5,0.5,1,1,0.5
3653,0,1,1,0.5,0.5
3654,0,1,1,0.5,0.5
3655,1,0.5,0,0,1
3656,1,0.5,0,0,0
3657,1,1,1,0,1
3658,1,1,1,1,1
3659,0.5,0.5,0,0,1
3660,1,1,0,0,0
3661,1,0.5,0,0,1
