area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p3a,s101p3b,s101p4a,s101p4b,s101p4b1,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
urbana,10150,0,0,0,0,0,0,30,2,60,0,0,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,0,0,0,1,1,1,1,3,1,1,1,1
urbana,10150,0,0,0,0,0,0,20,20,40,10,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5,1,1,1,1,1,1,5,1,1,5,1,1,5
urbana,10150,0,0,0,1,1,1,6,6,7,0,7,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1,1,1,1,2,3,2,2,3,1,5,2,1
urbana,10150,0,0,0,0,0,0,7,5,20,0,20,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,1,1,1,1,1,5,1,1,1,1,3,3,1
urbana,10150,1,0,1,1,1,1,4,4,15,0,15,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,3,1,1,3,3,3,2,2,1
urbana,10150,0,0,0,0,0,0,30,2,60,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,0,0,0,1,1,1,1,3,1,1,1,1
urbana,10150,0,0,0,1,1,1,4,4,8,4,0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,0,0,0,0,1,1,1,1,1,1,1,5,5
urbana,10150,0,0,0,0,0,0,4,4,3,0,3,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3,1,1,1,1,1,1,1,4,1,5,5,1,1
urbana,10150,0,0,0,0,0,1,3,3,5,0,5,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,1,1,1,1,2,2,1,3,1,3,1,3,3
urbana,10150,1,1,0,1,1,1,20,15,30,0,10,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4,1,1,1,1,1,4,1,1,1,5,1,1,1
urbana,10150,0,0,0,0,0,0,2,2,20,0,18,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,1,2,1,1,1,1,1,5,5
urbana,10150,1,1,1,1,1,1,0,0,8,0,8,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,3,1,1,1,1,1,3,3,1,1,1,5,1,5
urbana,10150,1,0,0,1,0,1,0,0,5,4,1,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,1,2,1,1,1,2,1,1,1,1
urbana,10150,0,0,0,0,0,0,4,4,5,0,5,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4,1,0,0,1,1,3,1,1,1,5,5,2,3
urbana,10150,1,1,1,1,1,1,2,2,3,0,3,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,0,1,1,1,1,5,1,3,1,3,3,3,3
urbana,10150,1,0,0,1,0,1,6,6,5,0,5,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,3,4,4,3,3,1,3,5,1
urbana,10150,1,0,1,0,1,1,0,0,3,0,3,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1,1,1,1,1,2,1,1,3,1,4,1,1,1
urbana,10150,0,0,0,1,1,1,4,4,9,8,0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2,1,1,1,1,1,1,1,1,2,1,1,2,1
urbana,10150,0,0,0,0,0,0,10,10,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,0,1,1,1,1,1,1,5,1,1
urbana,10150,0,0,0,0,0,0,15,15,40,0,20,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,1,3,1,2,2,4,1,1,1
urbana,10150,0,0,0,0,1,1,8,8,5,0,5,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2,1,1,1,1,1,1,1,1,1,1,4,1,1
urbana,10150,0,0,0,0,0,0,8,8,30,0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,1,1,1,1,1,5,1,1,5
urbana,10150,0,1,1,1,1,1,10,6,50,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,0,1,5,5,5,1,1,1,1,1
urbana,10150,0,0,0,0,0,0,7,7,12,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,1,1,1,1,1,1,1,1,2
urbana,10150,0,0,0,0,0,0,10,10,22,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
urbana,10150,0,0,0,0,0,0,10,10,15,0,15,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2,1,1,1,1,1,5,1,1,1,1,4,2,1
urbana,10150,0,0,0,0,0,0,5,5,15,0,15,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,4,1,1,1,1,1,2,2
urbana,10150,1,1,1,1,1,1,10,10,15,0,9,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5,1,1,1,1,1,5,1,1,1,1,4,1,1
urbana,10150,0,0,0,0,0,1,6,6,13,0,12,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0,1,1,1,2,1,1,1,1,1,1,1
urbana,10150,0,0,0,0,0,0,8,8,14,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1,1,0,1,1,1,1,1,1,1,5,1
urbana,10150,0,0,0,0,0,0,10,6,25,15,5,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,0,1,5,1,1,1,5,1,1,5
urbana,10150,0,0,0,0,0,0,3,3,4,0,4,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4,1,1,1,1,1,1,1,1,1,5,5,1,1
urbana,10150,1,1,0,1,1,1,2,2,12,0,12,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,1,1,1,3,2,2,1,1,1,1
urbana,10150,0,0,0,0,0,1,5,5,10,0,10,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4,1,1,1,1,1,1,1,1,1,5,1,1,5
urbana,10150,1,1,1,1,1,1,4,4,6,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,1,1,1,3,3,3,1,1,1,3,3,3
urbana,10150,1,1,1,1,1,1,1,1,9,0,9,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1
urbana,10150,0,0,0,0,0,0,2,2,8,0,8,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5,1,1,1,1,3,3,3,3,3,1,2,3,2
urbana,10150,0,0,0,0,0,0,2,2,8,0,8,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,2,4,4
urbana,10150,0,0,0,0,0,0,3,3,7,0,7,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
urbana,10150,0,0,0,0,1,1,4,4,6,0,6,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,1,1,1,1,3,1,1,1,1,1,1,3
urbana,10150,0,0,0,0,0,0,4,4,8,0,8,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,3,1,1,1,1,1,3,3,3,3,1,1,1,5
urbana,10150,0,0,0,0,0,0,2,2,8,0,8,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,1,1,1,1,1,1,1,1,1,1,1,2
urbana,10150,0,0,0,0,0,0,8,8,15,0,15,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,0,0,1,3,1,1,1,3,3,1,1
urbana,10150,0,0,0,0,0,0,6,6,16,4,12,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,1,1,1,1,1,1,1,1,1,1,3,1,1
urbana,10150,0,0,0,1,1,1,6,6,15,0,15,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,1,1,1,4,4,4,4,4,1,3,3,3
urbana,10150,1,1,1,1,1,1,4,4,8,0,8,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,2,1,1,1,1,3,3,3,3,3,3,1,3,3
urbana,10150,0,0,0,0,0,0,4,4,12,0,10,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,0,1,1,1,2,1,1,1,1,1,5,1
urbana,10150,1,1,1,1,1,1,4,4,4,0,4,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,1,5,1,5
urbana,10150,1,1,1,1,1,1,6,6,6,0,6,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,1,1,1,3,1,1,5,3,5
urbana,10150,1,1,1,1,1,1,4,4,2,2,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,5,1,1,1,1,1,1,2,2,1,3,4,2,4
urbana,10150,1,1,1,1,1,1,4,4,3,0,3,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1,1,1,1,1,1,1,1,1,1,5,1,4
urbana,10150,1,1,1,1,1,1,7,7,7,1,6,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5,1,1,1,1,1,3,2,2,2,1,4,2,3
urbana,10150,1,1,1,1,1,1,6,0,10,0,4,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,1,1,1,2,2,1,2,1,4,4,2,2
urbana,10150,0,1,1,1,1,1,2,2,7,0,7,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,1,1,1,1,3,2,1,1,1,5,1,1
urbana,10150,0,1,1,1,1,1,3,3,8,0,8,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,2,2,2,2,2,3,5,1,1
urbana,10150,1,1,1,1,1,1,10,10,12,0,12,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4,1,1,1,1,2,2,2,2,2,4,5,1,1
urbana,10150,0,1,1,1,1,1,2,2,5,0,5,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,1,1,1,1,1,1,1,4,1,2
urbana,10150,1,1,0,1,1,1,2,2,1,0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,4,2,2
urbana,10150,0,1,1,1,1,1,2,2,3,0,3,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,1,1,1,1,1,1,1,4,2,2
urbana,10150,0,1,1,1,1,1,2,2,6,0,6,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,1,1,1,1,1,4,1,1,1,1,4,3,2
urbana,10150,0,0,0,0,1,1,10,9,20,0,5,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1
urbana,10150,0,0,0,0,0,0,6,6,15,0,15,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,1,1,1,1,1,3,1,1,1,1,1,1,5
urbana,10150,0,1,0,1,1,1,4,0,10,0,10,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5,1,1,1,1,1,1,1,1,1,5,1,1,5
urbana,10150,1,0,0,0,0,0,2,2,8,6,2,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,1,1,1,1,1,1,1,5,1,1
urbana,10150,1,1,1,1,1,1,1,1,4,2,2,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,1,5,1,1,1,1,1,1,3
urbana,10150,0,0,0,0,0,0,2,2,5,3,2,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,0,1,1,1,1,2,1,1,1,1,1,1,1
urbana,10150,0,0,0,0,1,1,4,4,5,0,5,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,1,1,1,1,1,5,1,3,3,1,1,1,2
urbana,10150,0,0,0,0,0,0,3,3,5,0,5,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,0,1,0,0,1,5,1,1,1,1,1,1,5
urbana,10150,0,0,0,1,1,1,2,2,5,0,5,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4,0,0,1,1,1,1,1,1,1,1,5,1,2
urbana,10150,1,1,1,1,1,1,10,10,5,0,5,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,1,1,1,1,1,5,1,1,1,1,1,1,1
urbana,10150,1,1,1,1,1,1,6,6,5,2,3,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,2,1,2,1,1,4,5,3,4
urbana,10150,1,1,0,1,1,1,6,6,8,5,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,1,3,1,1,1,1,5,5,1
urbana,10150,0,0,0,0,0,0,3,3,20,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,1,1,1,1,1,4,1,1,1,1,1,1,4
urbana,10150,1,1,1,1,1,1,2,2,3,0,3,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2,1,1,1,1,2,2,2,1,1,1,4,2,2
urbana,10150,1,1,1,1,1,1,2,2,3,0,3,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,2,2,2,2,2,1,1,5,5
urbana,10150,0,0,0,0,0,0,3,3,3,0,3,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,1,1,1,1,2,2,2,2,2,4,3,3,3
urbana,10150,0,0,0,1,0,0,2,1,20,2,14,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,1,1,2,1,1,1,4,5,2,2
urbana,10150,0,0,0,0,0,0,15,15,30,0,30,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3,1,1,1,1,2,2,2,2,2,1,2,5,5
urbana,10150,0,0,0,0,0,0,4,4,22,0,22,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,1,1,1,1,2,2,2,2,2,2,1,5,4
urbana,10150,0,0,0,0,0,1,10,10,20,0,20,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,2,2,3,3,2,1,4,2,2
urbana,10150,0,0,0,0,0,0,6,6,8,0,8,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,1,2,2,2,1,1,4,3,1
urbana,10150,1,0,0,0,0,0,2,2,12,0,12,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,1,1,1,2,2,2,2,3,1,5,1,1
urbana,10150,1,1,1,1,1,1,4,4,10,0,9,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4,1,1,1,1,1,1,1,1,1,5,5,1,1
urbana,10150,0,0,0,0,1,1,4,4,10,0,10,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3,1,1,1,1,3,3,3,3,2,2,3,3,4
urbana,10150,0,1,1,1,1,1,2,2,6,0,6,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,0,0,0,0,1,2,1,1,1,5,5,2,3
urbana,10150,1,1,1,1,1,1,0,0,4,0,4,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,3,1,1,1,1,3,1,1,3,3,3,3,3,3
urbana,10150,1,1,1,1,1,1,4,4,4,0,4,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,1,1,1,1,1,1,1,1,1,2,5,3,1
urbana,10150,1,0,1,1,1,1,0,0,2,0,2,1,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,5,1,1,1,1,3,3,3,3,3,3,3,3,3
urbana,10150,0,0,0,0,0,1,5,5,12,6,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,3,1,4,3,1,5
urbana,10150,1,1,1,1,1,1,2,2,24,24,0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3,1,1,1,1,2,2,1,3,3,1,1,5,1
urbana,10150,1,1,1,1,1,1,4,4,4,0,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,5,1,1
urbana,10150,1,0,0,0,1,1,4,2,6,3,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1,1,0,1,1,1,1,1,1,1,1,5,1,5
urbana,10150,0,1,1,1,1,1,7,7,18,1,17,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4,1,1,1,1,1,2,2,1,2,1,4,5,1
urbana,10150,1,1,1,1,1,1,10,10,12,0,12,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4,1,1,1,1,4,4,4,4,4,2,3,3,3
urbana,10150,0,0,0,1,1,1,6,6,6,0,6,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2,0,1,1,1,1,5,1,1,1,1,1,1,1
urbana,10150,0,0,1,1,1,1,6,6,5,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2,1,1,1,1,1,2,1,3,3,1,5,1,2
urbana,10150,1,1,1,1,1,1,6,6,9,0,9,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,3,2,3,1,1,2,2,1,1
urbana,10150,1,1,1,1,1,1,8,8,15,8,7,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2,1,1,1,1,1,2,1,5,4,5,5,1,1
