valor,categoria
60650,GUAMOTE
60651,CEBADAS
60652,PALMIRA
60750,GUANO
60751,GUANANDO
60752,ILAPO
60753,LA PROVIDENCIA
60754,SAN ANDRES
60755,SAN GERARDO DE PACAICAGUA
60756,SAN ISIDRO DE PATULU
60757,SAN JOSE DEL CHAZO
60758,SANTA FE DE GALAN
60759,VALPARAISO
60850,PALLATANGA
60950,PENIPE
60951,EL ALTAR
60952,MATUS
60953,PUELA
60954,SAN ANTONIO DE BAYUSHIG
60955,LA CANDELARIA
60956,BILBAO (CAB.EN QUILLUYACU)
61050,CUMANDA
70150,MACHALA
70152,EL RETIRO
70250,ARENILLAS
70251,CHACRAS
70254,PALMALES
70255,CARCABON
70350,PACCHA
70351,AYAPAMBA
70352,CORDONCILLO
70353,MILAGRO
70354,SAN JOSE
70355,SAN JUAN DE CERRO AZUL
70450,BALSAS
70451,BELLAMARIA
70550,CHILLA
70650,EL GUABO
70651,BARBONES (SUCRE)
70652,LA IBERIA
70653,TENDALES (CABECERA)
70654,RIO BONITO
70750,HUAQUILLAS
70850,MARCABELI
70851,EL INGENIO
70950,PASAJE
70951,BUENAVISTA
70952,CASACAY
70953,LA PEAÑA
70954,PROGRESO
70955,UZHCURRUMI
70956,CAÑA QUEMADA
71050,PIÑAS
71051,CAPIRO (CABECERA)
71052,LA BOCANA
71053,MOROMORO (CAB. EN EL VADO
71054,PIEDRAS
71055,SAN ROQUE (AMBROSIO MALDO
71056,SARACAY
71150,PORTOVELO
71151,CURTINCAPA
71152,MORALES
71153,SALATI
71250,SANTA ROSA
71251,BELLAVISTA
71252,JAMBELI
71253,LA AVANZADA
71254,SAN ANTONIO
71255,TORATA
71256,VICTORIA
71257,BELLAMARIA
71350,ZARUMA
71351,ABAÑIN
71352,ARCAPAMBA
71353,GUANAZAN
71354,GUIZHAGUIÑA
71355,HUERTAS
71356,MALVAS
71357,MULUNCAY GRANDE
71358,SINSAO
71359,SALVIAS
71450,LA VICTORIA
71451,LA LIBERTAD
71452,EL PARAISO
71453,SAN ISIDRO
80150,ESMERALDAS
80152,CAMARONES (CAB. EN SAN VI
80153,CRNEL. CARLOS CONCHA TORR
80154,CHINCA
80159,MAJUA
80163,SAN MATEO
80165,TABIAZO
80166,TACHINA
80168,VUELTA LARGA
80250,VALDEZ (LIMONES)
80251,ANCHAYACU
80252,ATAHUALPA (CAB. EN CAMARO
80253,BORBON
80254,LA TOLA
80255,LUIS VARGAS TORRES (CAB.
80256,MALDONADO
80257,PAMPANAL DE BOLIVAR
80258,SAN FRANCISCO DE ONZOLE
80259,SANTO DOMINGO DE ONZOLE
80260,SELVA ALEGRE
80261,TELEMBI
80262,COLON ELOY DEL MARIA
80263,SAN JOSE DE CAYAPAS
80264,TIMBIRE
80350,MUISNE
80351,BOLIVAR
80352,DAULE
80353,GALERA
80354,QUINGUE(OLMEDO PERDOMO FR
80355,SALIMA
80356,SAN FRANCISCO
80357,SAN GREGORIO
80358,SAN JOSE DE CHAMANGA(CABE
80450,ROSA ZARATE (QUININDE)
80451,CUBE
80452,CHURA (CHANCAMA) (CABECER
80453,MALIMPIA
80454,VICHE
80455,LA UNION
80550,SAN LORENZO
80551,ALTO TAMBO (CAB. EN GUADU
80552,ANCON (PICHANGAL) (CABECE
80553,CALDERON
80554,CARONDELET
80555,5 DE JUNIO (CAB. EN UIMBI
80556,CONCEPCION
80557,MATAJE (CAB. EN SANTANDER
80558,SAN JAVIER DE CACHAVI (CA
80559,SANTA RITA
80560,TAMBILLO
80561,TULULBI (CAB. EN RICAURTE
80562,URBINA
80650,ATACAMES
80651,LA UNION
80652,SUA (CABECERA EN LA BOCA
80653,TONCHIGUE
80654,TONSUPA
80750,RIOVERDE
80751,CHONTADURO
80752,CHUMUNDE
80753,LAGARTO
80754,MONTALVO
80755,ROCAFUERTE
80850,LA CONCORDIA
90150,GUAYAQUIL
90152,JUAN GOMEZ RENDON (PROGRE
90153,MORRO
90156,POSORJA
90157,PUNA
90158,TENGUEL
90250,ALFREDO BAQUERIZO MORENO
90350,BALAO
90450,BALZAR
90550,COLIMES
90551,SAN JACINTO
90650,DAULE
90652,JUAN BAUTISTA AGUIRRE
90653,LAUREL
90654,LIMONAL
90656,LOS LOJAS (ENRIQUE BAQUER
90750,ELOY ALFARO (DURAN)
90850,VELASCO IBARRA (EL EMPALM
90851,GUAYAS (PUEBLO NUEVO)
90852,EL ROSARIO
90950,EL TRIUNFO
91050,MILAGRO
91051,CHOBO
91053,MARISCAL SUCRE (HUAQUES)
91054,ROBERTO ASTUDILLO (CABECE
91150,NARANJAL
91151,JESUS MARIA
91152,SAN CARLOS
91153,SANTA ROSA DE FLANDES
91154,TAURA
91250,NARANJITO
91350,PALESTINA
91450,PEDRO CARBO
91451,VALLE DE LA VIRGEN
91452,SABANILLA
91650,SAMBORONDON
91651,TARIFA
91850,SANTA LUCIA
91950,EL SALITRE (LAS RAMAS)
91951,GENERAL VERNAZA (DOS ESTE
91952,LA VICTORIA (ÑAUZA)
91953,JUNQUILLAL
92050,SAN JACINTO DE JAHUACHI
92053,GRAL. PEDRO J. MONTERO
92055,YAGUACHI VIEJO (CONE)
92056,VIRGEN DE FATIMA
92150,GENERAL VILLAMIL(PLAYAS)
92250,SIMON BOLIVAR
92251,CRNEL.LORENZO DE GARAICOA
92350,CORONEL MARCELINO MARIDUE
92450,LOMAS DE SARGENTILLO
92550,NARCISA DE JESUS
92750,GENERAL ANTONIO ELIZALDE-
92850,ISIDRO AYORA
100150,IBARRA
100151,AMBUQUI
100152,ANGOCHAGUA
100153,CAROLINA
100154,LA ESPERANZA
100155,LITA
100156,SALINAS
100157,SAN ANTONIO
100250,ATUNTAQUI
100251,IMBAYA (SAN LUIS DE COBUE
100252,SAN FRANCISCO DE NATABUEL
100253,SAN JOSE DE CHALTURA
100254,SAN ROQUE
100350,COTACACHI
100351,APUELA
100352,GARCIA MORENO (LLURIMAGU
100353,IMANTAG
100354,PEÑAHERRERA
100355,PLAZA GUTIERREZ (CALVARI
100356,QUIROGA
100357,6 DE JULIO DE CUELLAJE
100358,VACAS GALINDO (EL CHURO)
100450,OTAVALO
100451,DR. MIGUEL EGAS CABEZAS
100452,EUGENIO ESPEJO (CALPAQUI)
100453,GONZALEZ SUAREZ
100454,PATAQUI
100455,SAN JOSE DE QUICHINCHE
100456,SAN JUAN DE ILUMAN
100457,SAN PABLO
100458,SAN RAFAEL
100459,SELVA ALEGRE (CABECERA)
100550,PIMAMPIRO
100551,CHUGA
100552,MARIANO ACOSTA
100553,SAN FRANCISCO DE SIGSIPAM
100650,URCUQUI
100651,CAHUASQUI
100652,LA MERCED DE BUENOS AIRES
100653,PABLO ARENAS
100654,SAN BLAS
100655,TUMBABIRO
110150,LOJA
110151,CHANTACO
110152,CHUQUIRIBAMBA
110153,EL CISNE
110154,GUALEL
110155,JIMBILLA
110156,MALACATOS (VALLADOLID)
110157,SAN LUCAS
110158,SAN PEDRO DE VILCABAMBA
110159,SANTIAGO
110160,TAQUIL (MIGUEL RIOFRIO)
110161,VILCABAMBA (VICTORIA)
110162,YANGANA (ARSENIO CASTILLO
110163,QUINARA
110250,CARIAMANGA
110251,COLAISACA
110252,EL LUCERO
110253,UTUANA
110254,SANGILLIN
110350,CATAMAYO (LA TOMA)
110351,EL TAMBO
110352,GUAYQUICHUMA
110353,SAN PEDRO DE LA BENDITA
110354,ZAMBI
110450,CELICA
110451,CRUZPAMBA (CABECERA)
110455,POZUL (SAN JUAN DE POZUL)
110456,SABANILLA
110457,TNTE. MAXIMILIANO RODRIGU
110550,CHAGUARPAMBA
110551,BUENAVISTA
110552,EL ROSARIO
110553,SANTA RUFINA
110554,AMARILLOS
110650,AMALUZA
110651,BELLAVISTA
110652,JIMBURA
110653,SANTA TERESITA
110654,27 DE ABRIL (CAB. NARANJA)
110655,EL INGENIO
110656,EL AIRO
110750,GONZANAMA
110751,CHANGAIMINA (LA LIBERTAD)
110753,NAMBACOLA
110754,PURUNUMA (EGUIGUREN)
110756,SACAPALCA
110850,MACARA
110851,LARAMA
110852,LA VICTORIA
110853,SABIANGO (LA CAPILLA)
110950,CATACOCHA
110951,CANGONAMA
110952,GUACHANAMA
110954,LAURO GUERRERO
110956,ORIANGA
110957,SAN ANTONIO
110958,CASANGA
110959,YAMANA
111050,ALAMOR
111051,CIANO
111052,EL ARENAL
111053,EL LIMO (MARIANA DE JESUS
111054,MERCADILLO
111055,VICENTINO
