,area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3,s101p3a,s101p3b,s101p4,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5d,s101p5e,s101p5f,s101p5g,s101p51a,s101p52a,s101p51b,s101p52b,s101p51c,s101p52c,s101p51d,s101p52d,s101p51e,s101p52e,s101p51f,s101p52f,s101p51g,s101p52g,s101p51h,s101p52h,s101p51i,s101p52i,s101p51j,s101p52j,s101p51k,s101p52k,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p8,s101p9a,s101p9b,s101p9c,s101p9d,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
5475,rural,100151,0,1,1,1,1,1,2,7,7,7,1,1,2,0,0,1,2,0,2,1,1,1,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,5,6,7,0,4,1,7,0,0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1,1,2,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,2,1
5476,rural,100151,0,1,1,1,1,1,2,6,6,6,6,6,2,0,0,1,1,0,1,1,6,6,6,6,1,7,0,7,0,5,10,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,3,1,2,2,1,1,1,1,1,1,0,4,1,1,1,1,1,1,1,3,3,2,3,3,3
5477,rural,100151,0,1,1,1,1,1,2,7,7,1,1,1,2,0,0,1,3,0,3,1,7,1,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,1,1,2,2,1,1,1,1,1,1,1,5,1,1,1,1,1,2,2,2,1,2,2,2,1
5478,rural,100151,0,1,1,1,1,1,2,7,7,7,1,7,2,0,0,1,2,0,2,1,7,2,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,1.0,3,1,5,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,1,4,5
5479,rural,100151,0,0,0,1,1,1,2,7,7,6,6,1,2,0,0,1,3,0,3,1,6,2,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,3,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,2,2,2,3,3,3
5480,rural,100152,1,1,1,1,1,1,2,7,7,6,6,6,2,0,0,1,5,0,5,1,6,2,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,0,4,1,1,1,1,3,3,3,3,3,3,3,3,3
5481,rural,100152,0,1,1,1,1,1,2,6,6,1,6,1,1,4,4,1,4,0,4,1,1,2,6,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1
5482,rural,100152,0,1,1,1,1,1,2,7,7,7,1,7,2,0,0,1,4,0,4,1,1,2,7,7,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.5,0.5,3,1,7,7,1,1,1,1,1,0,1,3,1,1,1,1,1,3,1,2,2,1,3,5,5
5483,rural,100152,0,0,0,1,1,1,2,3,3,1,6,1,1,2,2,1,4,0,4,6,1,1,6,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,3,3,2,2
5484,rural,100152,0,1,1,1,1,1,2,6,6,6,6,6,2,0,0,1,4,0,4,1,7,2,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,3,1,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,3,5
5485,rural,100152,0,1,1,1,1,1,2,6,6,6,6,6,2,0,0,1,3,0,3,1,6,7,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,2,2,1,1,1,1,1,1,0,3,1,1,1,1,1,2,2,2,1,2,3,2,3
5486,rural,100152,0,1,1,1,1,1,2,7,7,6,6,1,2,0,0,1,13,0,13,1,6,2,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,2,2,1,1,1,1,1,1,0,3,1,1,1,1,2,2,1,2,2,1,4,2,1
5487,rural,100152,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,3,7,7,7,7,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,5
5488,rural,100152,0,1,1,1,1,1,2,6,6,1,1,1,1,2,2,1,6,0,6,1,1,1,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,3,6,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
5489,rural,100152,0,1,1,1,1,1,2,6,6,1,1,1,2,0,0,1,2,0,2,1,1,1,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,3,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3
5490,rural,100152,0,1,1,1,1,1,2,7,7,6,6,6,1,2,2,1,2,0,2,6,6,2,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,3,1,2,2,1,1,1,1,1,1,0,3,1,1,1,1,1,2,2,2,2,1,3,2,4
5491,rural,100152,0,1,1,1,0,1,2,6,6,6,4,6,2,0,0,1,5,0,5,1,6,2,1,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,3,7,0,7,0,7,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,3,1,1,3,2
5492,rural,100156,1,1,1,1,1,1,6,6,6,6,6,6,1,4,4,1,8,0,8,6,6,6,6,6,6,7,0,7,0,7,0,6,6,6,10,7,0,7,0,7,0,7,0,7,0,7,0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1,0,0,1,1,0,0,2,1,1,1,1,5,4,3,1,1,5,1,4,3
5493,rural,100156,1,1,0,1,1,1,6,6,4,6,6,6,1,6,6,1,7,3,4,6,6,6,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,2,2,1,1,1,1,1,1,0,2,1,1,1,1,3,3,3,3,3,3,4,2,2
5494,rural,100156,0,1,1,1,1,1,2,6,6,6,1,1,1,8,8,1,77,70,7,5,1,2,5,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,6,1,1,2,1,1,1,1,1,0,3,1,1,1,1,3,3,4,2,4,2,2,3,4
5495,rural,100156,1,1,1,1,1,1,6,6,6,1,1,1,2,0,0,1,6,0,6,1,3,6,6,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,2,2,1,1,1,0,1,0,1,4,1,1,1,1,1,3,1,1,1,4,2,4,1
5496,rural,100156,1,1,1,1,1,1,6,6,6,6,6,6,1,8,8,1,2,0,2,6,6,6,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,1,0,1,0,1,3,1,1,1,1,1,2,1,1,1,4,1,5,5
5497,rural,100156,1,0,0,1,1,1,6,4,4,6,1,1,1,4,4,1,7,0,7,1,1,6,6,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,2,2,1,1,1,1,1,1,0,3,1,1,1,1,1,2,1,1,1,1,1,5,5
5498,rural,100156,0,0,0,1,1,1,2,5,5,6,1,1,1,2,2,1,7,3,4,1,1,5,1,1,1,7,0,7,0,5,5,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3,6,1,1,1,1,1,1,1,1,0,4,1,1,1,1,4,4,5,4,3,3,3,3,4
5499,rural,100156,0,1,1,1,1,1,2,6,6,6,1,1,1,6,6,1,9,4,5,5,1,2,6,1,1,5,5,7,0,5,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,6,1,1,2,1,1,1,1,1,0,3,1,1,1,1,2,2,2,3,3,2,2,3,2
5500,rural,100156,1,1,0,1,1,1,6,6,5,6,6,6,1,2,2,1,6,0,6,6,6,6,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,1,4,1,2,1,1,1
5501,rural,100156,1,1,1,1,1,1,6,6,6,6,6,6,2,0,0,1,7,0,7,6,6,6,6,6,6,7,0,7,0,7,0,5,7,7,0,7,0,7,0,5,9,7,0,7,0,7,0,1,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,1,1
5502,rural,100156,1,1,1,1,1,1,6,6,6,1,1,1,1,2,2,1,9,0,9,1,6,6,6,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,5,1,3
5503,rural,100156,0,1,1,1,1,1,2,6,6,6,1,1,1,4,4,1,9,0,9,5,1,2,6,1,1,5,7,7,0,5,3,7,0,7,0,7,0,7,0,7,0,7,0,7,0,5,1,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,6,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,4,4
5504,urbana,100157,0,1,1,1,1,1,2,6,6,6,6,6,1,10,10,1,8,0,8,6,6,7,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,2,2,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,1,2,1,4,1,2
5505,urbana,100157,1,1,1,1,1,1,6,6,6,6,6,6,2,0,0,1,4,0,3,1,1,6,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,8,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,1,1,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,2,2
5506,urbana,100157,0,1,1,1,1,1,2,6,6,1,1,1,2,0,0,1,2,0,2,1,1,1,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,3,3,3,3,3,3,3,2,2
5507,urbana,100157,0,1,1,1,1,1,2,7,7,7,7,1,1,2,2,1,3,3,0,1,6,1,6,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,3,3,3
5508,urbana,100157,0,0,0,0,0,0,2,7,7,6,6,6,1,4,0,1,4,0,4,6,6,7,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,6,2,2,1,1,1,1,1,1,0,3,1,1,1,1,1,2,2,2,2,5,4,2,1
5509,urbana,100157,0,1,1,1,1,1,2,6,6,6,6,1,1,3,3,1,7,0,7,3,6,2,3,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1,3,2,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1
5510,urbana,100157,0,1,1,1,1,1,2,6,6,6,6,6,2,0,0,1,6,0,6,1,6,2,6,6,1,7,0,7,0,1,20,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,2,1,1,3,5,3
5511,urbana,100157,0,1,1,1,1,1,2,7,7,6,6,6,1,3,3,1,5,0,5,6,6,2,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1,5,5,1,1,1,1,1,1,0,3,1,1,1,1,2,2,1,3,3,1,4,2,2
5512,urbana,100157,0,1,0,1,1,1,2,6,4,1,6,1,1,2,2,1,7,4,3,1,6,1,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3,1,2,2,1,1,1,0,1,0,0,2,1,1,1,0,1,1,1,1,1,1,3,1,1
5513,urbana,100157,0,1,1,1,1,1,2,6,6,6,6,6,1,2,2,1,8,0,8,6,6,6,6,6,1,2,10,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,2,1,4,4,1
5514,urbana,100157,0,1,0,1,1,1,2,6,4,1,1,1,1,4,4,1,2,0,2,1,1,1,1,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,2,2,2,2,2,3,3,2,1
5515,urbana,100157,0,1,1,1,1,1,2,7,7,6,6,6,1,3,3,1,2,0,2,6,6,6,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,3,3,3,3,3,3,3,3,3
5516,urbana,100157,1,1,1,1,1,1,6,6,6,6,6,6,1,2,2,1,4,0,4,6,6,6,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,2,2,2,2,4,2,1
5517,urbana,100157,1,1,1,1,1,1,6,6,6,6,6,6,2,0,0,1,2,0,2,1,6,7,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,3,2,2
5518,urbana,100157,1,1,1,1,1,1,6,6,6,6,6,1,2,0,0,1,4,0,4,1,6,6,6,6,1,7,0,7,0,6,10,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,3,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,2,2,1,1,2,4,2,1
5519,urbana,100157,1,1,1,1,1,1,6,6,6,6,1,1,1,6,2,1,20,0,10,1,6,2,6,6,1,7,0,7,0,7,0,7,0,1,4,7,0,7,0,7,0,7,0,7,0,7,0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,2,5,1,0,1,0,1,0,0,2,1,1,1,1,2,2,2,2,2,4,4,2,2
5520,urbana,100157,0,1,1,1,1,1,2,6,6,6,6,6,1,6,6,1,10,0,10,3,6,7,6,6,6,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,6,2,2,1,1,1,0,1,1,0,3,1,1,1,1,1,1,1,2,2,1,4,2,2
5521,urbana,100157,0,1,1,1,1,1,2,6,6,1,1,1,2,0,0,1,5,0,5,1,6,2,1,6,1,7,0,7,0,7,0,5,20,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,3,3,3,3,3,3,3,3
5522,urbana,100157,0,1,1,1,1,1,2,6,6,6,6,1,1,8,0,1,6,0,6,1,6,2,6,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,1,5,5,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,1,1,3,2,4,2
5523,urbana,100157,0,0,0,1,1,1,6,4,4,1,6,1,2,0,0,1,8,0,0,1,1,1,1,6,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,1,2,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,2,4,1
